Model,MRR,Hit_Rate@1,Hit_Rate@3,Hit_Rate@5,MAP@5,NDCG@5,Precision@5,Recall@5,MRR_rank,Hit_Rate@1_rank,Hit_Rate@3_rank,Hit_Rate@5_rank,MAP@5_rank,NDCG@5_rank,Precision@5_rank,Recall@5_rank
AITeamVN/Vietnamese_Embedding,0.8666666666666666,0.7619047619047619,0.9523809523809523,1.0,0.8666666666666666,0.9005034200723986,0.20000000000000004,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Qwen/Qwen3-Embedding-0.6B,0.8412698412698412,0.7142857142857143,1.0,1.0,0.8412698412698412,0.8820818578231349,0.20000000000000004,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.7634920634920634,0.6666666666666666,0.8571428571428571,0.9047619047619048,0.7634920634920634,0.799030574664234,0.18095238095238098,0.9047619047619048,3.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0
dangvantuan/vietnamese-embedding,0.7238095238095238,0.5714285714285714,0.9047619047619048,0.9523809523809523,0.7238095238095238,0.7814558010247795,0.19047619047619052,0.9523809523809523,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,0.6404761904761904,0.42857142857142855,0.8571428571428571,0.9523809523809523,0.6404761904761904,0.7191956136541277,0.19047619047619052,0.9523809523809523,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0
